,investor,cryptocurrency,announced_on
0,0,KRT,2019-02
1,0,LUNA,2019-02
2,0,SDT,2019-02
3,1,HNT,2021-08
4,2,MOB,2021-08
5,3,AUDIO,2018-08
6,3,UDT,2018-06
7,4,ATOM,2021-05
8,4,CKB,2018-07
9,4,INDEX,2021-07
10,4,MKR,2017-12
11,4,MVI,2021-07
12,4,NXM,2021-02
13,5,AR,2018-06
14,5,CKB,2018-07
15,5,DPI,2021-05
16,5,GTC,2021-04
17,5,INDEX,2021-07
18,5,KRT,2018-08
19,5,LQTY,2020-09
20,5,LUNA,2018-08
21,5,MVI,2021-05
22,5,NFTI,2021-05
23,5,SDT,2018-08
24,5,SI,2021-03
25,5,ZOMB,2020-11
26,6,KAVA,2019-02
27,7,CAS,2016-07
28,8,PTF,2020-09
29,8,SPS,2021-07
30,8,STEP,2021-04
31,8,TLM,2021-03
32,8,UNN,2020-11
33,9,GMEE,2018-12
34,10,BVOL,2021-07
35,10,FTT,2021-07
36,10,HEDGE,2021-07
37,11,RLY,2020-02
38,12,CTXC,2021-05
39,13,CRE,2018-06
40,13,NOIA,2019-07
41,13,TT,2019-05
42,14,AXS,2019-08
43,14,CKB,2018-07
44,14,COCOS,2018-09
45,14,GMEE,2016-04
46,14,HYVE,2019-07
47,14,LBA,2018-04
48,14,OST,2016-11
49,14,RAISE,2021-02
50,14,SLP,2019-08
51,14,SOL,2018-06
52,15,AXS,2019-11
53,15,SLP,2019-11
54,16,KEEP,2016-04
55,16,UGAS,2018-05
56,17,BUX,2015-09
57,18,LPT,2021-07
58,19,$KING,2020-10
59,20,BETH,2017-03
60,20,BIX,2017-11
61,20,BLZ,2018-01
62,20,CEN,2018-06
63,20,DOT,2019-08
64,20,ELF,2017-12
65,20,EMB,2018-04
66,20,ETH,2017-03
67,20,FTM,2018-06
68,20,GTO,2017-12
69,20,GZIL,2017-12
70,20,ICX,2017-09
71,20,IOTX,2018-02
72,20,KNC,2017-09
73,20,KNCL,2017-09
74,20,LBA,2018-03
75,20,MOB,2018-04
76,20,NAS,2017-12
77,20,ONG,2018-02
78,20,ONT,2018-02
79,20,QASH,2017-11
80,20,QKC,2018-05
81,20,RIF,2018-05
82,20,UGAS,2018-07
83,20,WAN,2018-09
84,20,WFTM,2018-06
85,20,ZIL,2017-12
86,20,ZRX,2017-08
87,21,BERRY,2017-10
88,22,DMD,2017-03
89,22,ICX,2021-08
90,23,HPB,2018-06
91,24,STMX,2017-01
92,25,CELO,2019-04
93,25,ICP,2018-08
94,26,LQTY,2020-09
95,26,SC,2020-09
96,26,UNI,2020-08
97,26,YGG,2021-06
98,27,SHEESHA,2021-04
99,28,VIB,2016-04
