,date,mcap
0,2010-07-21,0
1,2010-07-28,0
2,2010-08-04,0
3,2010-08-11,0
4,2010-08-18,0
5,2010-08-25,0
6,2010-09-01,0
7,2010-09-08,0
8,2010-09-15,0
9,2010-09-22,0
10,2010-09-29,0
11,2010-10-06,0
12,2010-10-13,0
13,2010-10-20,0
14,2010-10-27,0
15,2010-11-03,0
16,2010-11-10,0
17,2010-11-17,0
18,2010-11-24,0
19,2010-12-01,0
20,2010-12-08,0
21,2010-12-15,0
22,2010-12-22,0
23,2010-12-29,0
24,2011-01-05,0
25,2011-01-12,0
26,2011-01-19,0
27,2011-01-26,0
28,2011-02-02,0
29,2011-02-09,"0,01"
30,2011-02-16,"0,01"
31,2011-02-23,0
32,2011-03-02,"0,01"
33,2011-03-09,0
34,2011-03-16,0
35,2011-03-23,0
36,2011-03-30,0
37,2011-04-06,0
38,2011-04-13,"0,01"
39,2011-04-20,"0,01"
40,2011-04-27,"0,01"
41,2011-05-04,"0,02"
42,2011-05-11,"0,03"
43,2011-05-18,"0,04"
44,2011-05-25,"0,05"
45,2011-06-01,"0,06"
46,2011-06-08,"0,17"
47,2011-06-15,"0,13"
48,2011-06-22,"0,11"
49,2011-06-29,"0,11"
50,2011-07-06,"0,09"
51,2011-07-13,"0,10"
52,2011-07-20,"0,09"
53,2011-07-27,"0,10"
54,2011-08-03,"0,07"
55,2011-08-10,"0,07"
56,2011-08-17,"0,08"
57,2011-08-24,"0,08"
58,2011-08-31,"0,06"
59,2011-09-07,"0,05"
60,2011-09-14,"0,04"
61,2011-09-21,"0,04"
62,2011-09-28,"0,04"
63,2011-10-05,"0,04"
64,2011-10-12,"0,03"
65,2011-10-19,"0,02"
66,2011-10-26,"0,02"
67,2011-11-02,"0,02"
68,2011-11-09,"0,02"
69,2011-11-16,"0,02"
70,2011-11-23,"0,02"
71,2011-11-30,"0,02"
72,2011-12-07,"0,02"
73,2011-12-14,"0,03"
74,2011-12-21,"0,03"
75,2011-12-28,"0,03"
76,2012-01-04,"0,04"
77,2012-01-11,"0,05"
78,2012-01-18,"0,05"
79,2012-01-25,"0,05"
80,2012-02-01,"0,05"
81,2012-02-08,"0,05"
82,2012-02-15,"0,04"
83,2012-02-22,"0,04"
84,2012-02-29,"0,04"
85,2012-03-07,"0,04"
86,2012-03-14,"0,05"
87,2012-03-21,"0,04"
88,2012-03-28,"0,04"
89,2012-04-04,"0,04"
90,2012-04-11,"0,04"
91,2012-04-18,"0,04"
92,2012-04-25,"0,05"
93,2012-05-02,"0,04"
94,2012-05-09,"0,05"
95,2012-05-16,"0,05"
96,2012-05-23,"0,05"
97,2012-05-30,"0,05"
98,2012-06-06,"0,05"
99,2012-06-13,"0,05"
100,2012-06-20,"0,06"
101,2012-06-27,"0,06"
102,2012-07-04,"0,06"
103,2012-07-11,"0,07"
104,2012-07-18,"0,09"
105,2012-07-25,"0,08"
106,2012-08-01,"0,09"
107,2012-08-08,"0,11"
108,2012-08-15,"0,12"
109,2012-08-22,"0,10"
110,2012-08-29,"0,11"
111,2012-09-05,"0,11"
112,2012-09-12,"0,11"
113,2012-09-19,"0,12"
114,2012-09-26,"0,12"
115,2012-10-03,"0,13"
116,2012-10-10,"0,12"
117,2012-10-17,"0,12"
118,2012-10-24,"0,12"
119,2012-10-31,"0,11"
120,2012-11-07,"0,11"
121,2012-11-14,"0,11"
122,2012-11-21,"0,12"
123,2012-11-28,"0,13"
124,2012-12-05,"0,14"
125,2012-12-12,"0,15"
126,2012-12-19,"0,14"
127,2012-12-26,"0,14"
128,2013-01-02,"0,14"
129,2013-01-09,"0,15"
130,2013-01-16,"0,15"
131,2013-01-23,"0,18"
132,2013-01-30,"0,20"
133,2013-02-06,"0,22"
134,2013-02-13,"0,26"
135,2013-02-20,"0,31"
136,2013-02-27,"0,32"
137,2013-03-06,"0,43"
138,2013-03-13,"0,48"
139,2013-03-20,"0,64"
140,2013-03-27,"0,88"
141,2013-04-03,"1,38"
142,2013-04-10,"2,03"
143,2013-04-17,"0,89"
144,2013-04-24,"1,54"
145,2013-05-01,"1,38"
146,2013-05-08,"1,33"
147,2013-05-15,"1,34"
148,2013-05-22,"1,45"
149,2013-05-29,"1,49"
150,2013-06-05,"1,43"
151,2013-06-12,"1,28"
152,2013-06-19,"1,26"
153,2013-06-26,"1,24"
154,2013-07-03,"1,09"
155,2013-07-10,"0,94"
156,2013-07-17,"1,20"
157,2013-07-24,"1,15"
158,2013-07-31,"1,34"
159,2013-08-07,"1,33"
160,2013-08-14,"1,39"
161,2013-08-21,"1,53"
162,2013-08-28,"1,55"
163,2013-09-04,"1,69"
164,2013-09-11,"1,66"
165,2013-09-18,"1,70"
166,2013-09-25,"1,65"
167,2013-10-02,"1,70"
168,2013-10-09,"1,68"
169,2013-10-16,"1,82"
170,2013-10-23,"2,58"
171,2013-10-30,"2,55"
172,2013-11-06,"3,27"
173,2013-11-13,"5,05"
174,2013-11-20,"7,05"
175,2013-11-27,"12,02"
176,2013-12-04,"15,37"
177,2013-12-11,"12,12"
178,2013-12-18,"7,47"
179,2013-12-25,"9,17"
180,2014-01-01,"10,63"
181,2014-01-08,"11,49"
182,2014-01-15,"11,79"
183,2014-01-22,"11,94"
184,2014-01-29,"11,26"
185,2014-02-05,"11,43"
186,2014-02-12,"9,12"
187,2014-02-19,"8,68"
188,2014-02-26,"7,93"
189,2014-03-05,"9,59"
190,2014-03-12,"9,18"
191,2014-03-19,"8,69"
192,2014-03-26,"8,22"
193,2014-04-02,"6,70"
194,2014-04-09,"6,87"
195,2014-04-16,"7,83"
196,2014-04-23,"7,44"
197,2014-04-30,"6,70"
198,2014-05-07,"6,47"
199,2014-05-14,"6,69"
200,2014-05-21,"7,43"
201,2014-05-28,"8,75"
202,2014-06-04,"8,91"
203,2014-06-11,"9,43"
